Customer Id,First name,Middle Name,Last name ,Email-Id,Contact Number,Address 1,City,State and Pincode,Customer_allergic to,Aviod Allergic ingredients,Allergic_notes,Preference_Spice level,Preference_cooking level for meat,Preference_Cooking oil,Preference_notes,Resturant_name,Resturant_Address,Resturant_email,Login_id,Password,,,,,,
16,Megan,Rose,Martin,megan.martin@gmail.com,777-666-5555,456 Cherry Ln,Bloomington,IN 47404,No Preference,No Preference,No Preference,Less Spicy,Medium,Coconut Oil,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
17,Kevin,NULL,Perez,kperez@gmail.com,222-111-9999,159 Oak St,Bloomington,IN 47401,No Preference,No Preference,No Preference,Medium Spicy,Medium,Olive Oil,Coconut oil also works,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
18,Jennifer,Marie,Lewis,j.lewis@gmail.com,555-666-7777,753 Maple Ave,Bedford,IN 47421,No Preference,No Preference,No Preference,Very Spicy,Rare,Vegetable Oil,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
19,Brandon,NULL,King,brandon.king@gmail.com,888-777-6666,357 Willow Dr,Indianapolis,IN 46202,No Preference,No Preference,No Preference,Less Spicy,Well Done,No Preference,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
20,Elizabeth,Anne,Taylor,e.taylor@gmail.com,444-333-2222,852 Birch St,Bloomington,IN 47408,dairy,dairy,Strictly avoid Ingredient,No Preference,Medium,Coconut Oil,No Preference,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
21,Brian,Edward,Rodriguez,brian.rodriguez@gmail.com,111-222-3333,123 Magnolia Ave,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,Medium,Olive Oil,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
22,Samantha,NULL,Scott,sam.scott@gmail.com,555-666-7777,456 Pine St,Bloomington,IN 47401,No Preference,No Preference,No Preference,Less Spicy,Rare,Vegetable Oil,No Preference,The Green Fork,"321 Maple Drive, Riverside, Indiana",greencuisine@freshmail.com,greenfork21,Fork@Green123,,,,,,
23,Jacob,Lee,Nguyen,jacob.nguyen@gmail.com,999-888-7777,789 Cedar Dr,Bloomington,IN 47408,No Preference,No Preference,No Preference,Medium Spicy,Well Done,No Preference,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
24,Hannah,Grace,Adams,h.adams@gmail.com,111-222-3333,357 Walnut St,Nashville,TN 37203,No Preference,No Preference,No Preference,Very Spicy,No Preference,Coconut Oil,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
25,Timothy,NULL,Roberts,troberts@gmail.com,444-555-6666,159 Maple Ave,Bloomington,IN 47404,gluten,gluten,Strictly avoid Ingredient,Less Spicy,Medium,No Preference,No red pepper,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
26,Olivia,Marie,Morales,olivia.m@gmail.com,777-888-9999,753 Elm Ln,Bloomington,IN 47401,No Preference,No Preference,No Preference,Medium Spicy,Rare,Vegetable Oil,No Preference,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
27,Austin,NULL,Cook,austin.cook@gmail.com,222-333-4444,456 Pine St,Indianapolis,IN 46202,No Preference,No Preference,No Preference,No Preference,Well Done,No Preference,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
28,Victoria,Lynn,Hill,vhill@gmail.com,555-444-3333,852 Oak St,Columbus,IN 47201,No Preference,No Preference,No Preference,Medium Spicy,Medium,Coconut Oil,use only black pepper,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
29,Caleb,NULL,Ward,caleb.ward@gmail.com,888-777-6666,123 Birch Dr,Bloomington,IN 47408,fish,fish,Not that severe,Very Spicy,No Preference,Olive Oil,Use only extra virgin olive oil,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
30,Rachel,Anne,Turner,r.turner@gmail.com,111-222-3333,369 Cedar St,Bedford,IN 47421,peanuts,peanuts,Strictly avoid Ingredient,Less Spicy,Well Done,Vegetable Oil,No Preference,Seafood Cove,"890 Beach Road, Baytown, Indiana",seafoodcove@yummail.com,oceanlover,SeaCove2024!,,,,,,
31,Dylan,NULL,Bailey,dylan.bailey@gmail.com,444-555-6666,159 Elm Ave,Bloomington,IN 47401,No Preference,No Preference,No Preference,Medium Spicy,Medium,No Preference,No Preference,Burger Junction,"901 Bacon Avenue, Grillville,Indiana ",burgerjunction@fastfoodmail.com,burgerlover,JuicyBurger99!,,,,,,
32,Kaitlyn,Nicole,Foster,kait.foster@gmail.com,777-888-9999,753 Pine St,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,No Preference,No Preference,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
33,Logan,NULL,Ross,logan.ross@gmail.com,222-333-4444,357 Oak Dr,Bloomington,IN 47401,No Preference,No Preference,No Preference,Less Spicy,Rare,Olive Oil,Use only extra virgin olive oil,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
34,Alexis,Grace,Wood,alexis.wood@gmail.com,555-666-7777,852 Maple Ln,Bloomington,IN 47408,No Preference,No Preference,No Preference,No Preference,Well Done,Vegetable Oil,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
35,Jordan,Lee,Brooks,jordan.brooks@gmail.com,888-777-6666,123 Elm St,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,Medium,No Preference,No Preference,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
36,Morgan,NULL,Coleman,morgan.coleman@gmail.com,111-222-3333,456 Cedar Ave,Bloomington,,gluten,gluten,Strictly avoid Ingredient,Less Spicy,Medium,No Preference,No Preference,Fire & Spice Grill,"567 Pine Lane, Hilltop, Indiana",firenspicegrill@eaterymail.com,spicegrill88,GrillFire$1,,,,,,
37,Abigail,Marie,Hughes,abigail.hughes@gmail.com,444-555-6666,789 Pine Dr,Bloomington,IN 47408,No Preference,No Preference,No Preference,Less Spicy,Rare,Olive Oil,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
38,Nathan,NULL,Brooks,nathan.brooks@gmail.com,777-888-9999,357 Elm St,Bloomington,IN 47401,No Preference,No Preference,No Preference,Medium Spicy,Well Done,Vegetable Oil,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
39,Hailey,Grace,Jenkins,hailey.jenkins@gmail.com,222-333-4444,852 Cedar Ave,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,Medium,No Preference,No red pepper,The Green Fork,"321 Maple Drive, Riverside, Indiana",greencuisine@freshmail.com,greenfork21,Fork@Green123,,,,,,
40,Elijah,Lee,Price,elijah.price@gmail.com,888-777-6666,123 Maple Ln,Bloomington,IN 47408,No Preference,No Preference,No Preference,No Preference,Medium,Coconut Oil,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
41,Sophia,NULL,Perez,sophia.perez@gmail.com,111-222-3333,456 Oak Dr,Bloomington,IN 47404,dairy,dairy,No Preference,Medium Spicy,Rare,No Preference,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
42,Jackson,James,Simmons,jackson.simmons@gmail.com,444-555-6666,789 Walnut Ave,Bloomington,IN 47401,No Preference,No Preference,Strictly avoid Ingredient,Very Spicy,Well Done,Vegetable Oil,No Preference,Fire & Spice Grill,"567 Pine Lane, Hilltop, Indiana",firenspicegrill@eaterymail.com,spicegrill88,GrillFire$1,,,,,,
43,Zoe,Anne,Murray,zoe.murray@gmail.com,777-888-9999,357 Cherry St,Bloomington,IN 47401,gluten,gluten,Strictly avoid Ingredient,Less Spicy,Medium,No Preference,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
44,Mason,NULL,Hughes,mason.hughes@gmail.com,222-333-4444,852 Pine Dr,Bloomington,IN 47408,No Preference,No Preference,No Preference,Medium Spicy,Rare,Coconut Oil,olive oil can also be used,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
45,Addison,Grace,Russell,addison.russell@gmail.com,888-777-6666,123 Oak Ln,Bloomington,IN 47404,No Preference,No Preference,No Preference,Less Spicy,No Preference,Olive Oil,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
46,Aiden,Lee,Foster,aiden.foster@gmail.com,111-222-3333,456 Maple Ave,Bloomington,IN 47401,peanuts,peanuts,Strictly avoid Ingredient,Medium Spicy,Medium,No Preference,No Preference,Burger Junction,"901 Bacon Avenue, Grillville,Indiana ",burgerjunction@fastfoodmail.com,burgerlover,JuicyBurger99!,,,,,,
47,Harper,NULL,Alexander,harper.alexander@gmail.com,444-555-6666,789 Elm Dr,Bloomington,IN 47408,No Preference,No Preference,No Preference,Very Spicy,Medium,No Preference,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
48,Riley,James,Watson,riley.watson@gmail.com,777-888-9999,357 Cedar Ave,Bloomington,IN 47404,eggs,eggs,Strictly avoid Ingredient,Less Spicy,Medium,Coconut Oil,No Preference,Seafood Cove,"890 Beach Road, Baytown, Indiana",seafoodcove@yummail.com,oceanlover,SeaCove2024!,,,,,,
49,Zoey,Anne,Dixon,zoey.dixon@gmail.com,222-333-4444,852 Cherry Ln,Bloomington,IN 47401,No Preference,No Preference,No Preference,Medium Spicy,Rare,Olive Oil,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
50,Brayden,NULL,Sanders,brayden.sanders@gmail.com,888-777-6666,123 Walnut Dr,Bloomington,IN 47408,No Preference,No Preference,No Preference,Very Spicy,No Preference,Vegetable Oil,No Preference,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
51,Paisley,Grace,Greene,paisley.greene@gmail.com,111-222-3333,456 Pine St,Bloomington,IN 47404,No Preference,No Preference,No Preference,Less Spicy,Medium,No Preference,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
52,Lincoln,Lee,Martinez,lincoln.martinez@gmail.com,444-555-6666,789 Oak Ave,Bloomington,IN 47401,No Preference,No Preference,No Preference,No Preference,Medium,No Preference,No Preference,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
53,Aurora,NULL,Simmons,aurora.simmons@gmail.com,777-888-9999,357 Elm Dr,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,Rare,Olive Oil,No red pepper,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
54,Leo,James,Graham,leo.graham@gmail.com,222-333-4444,852 Maple St,Bloomington,IN 47401,No Preference,No Preference,No Preference,Less Spicy,Well Done,Vegetable Oil,No Preference,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
55,Nova,Anne,Collins,nova.collins@gmail.com,888-777-6666,123 Cedar Ln,Bloomington,IN 47408,No Preference,No Preference,No Preference,Medium Spicy,Medium,No Preference,No Preference,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
56,Ellie,Grace,Hernandez,ellie.hernandez@gmail.com,111-222-3333,456 Pine Ave,Bloomington,IN 47404,dairy,dairy,Strictly avoid Ingredient,Very Spicy,Medium,No Preference,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
57,Levi,NULL,Murphy,levi.murphy@gmail.com,444-555-6666,789 Elm Dr,Bloomington,IN 47408,No Preference,No Preference,No Preference,No Preference,Rare,Olive Oil,No Preference,Burger Junction,"901 Bacon Avenue, Grillville,Indiana ",burgerjunction@fastfoodmail.com,burgerlover,JuicyBurger99!,,,,,,
58,Violet,Lee,Owens,violet.owens@gmail.com,777-888-9999,357 Oak Ln,Bloomington,IN 47404,peanuts,peanuts,Strictly avoid Ingredient,Medium Spicy,Well Done,Vegetable Oil,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
59,Julian,James,Gordon,julian.gordon@gmail.com,222-333-4444,852 Walnut Dr,Bloomington,IN 47401,No Preference,No Preference,No Preference,Less Spicy,Medium,No Preference,No Preference,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
60,Hazel,Anne,Carroll,hazel.carroll@gmail.com,888-777-6666,123 Maple St,Bloomington,IN 47408,No Preference,No Preference,No Preference,Medium Spicy,Medium,Coconut Oil,No Preference,The Green Fork,"321 Maple Drive, Riverside, Indiana",greencuisine@freshmail.com,greenfork21,Fork@Green123,,,,,,
61,Gabriel,NULL,Sullivan,gabriel.sullivan@gmail.com,111-222-3333,456 Cherry Ave,Bloomington,IN 47404,No Preference,No Preference,No Preference,Very Spicy,No Preference,Olive Oil,no green chilies,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
62,Clara,Grace,Nichols,clara.nichols@gmail.com,444-555-6666,789 Pine Ln,Bloomington,IN 47408,No Preference,No Preference,No Preference,Less Spicy,Well Done,Vegetable Oil,No Preference,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
63,Jackson,Lee,Griffin,jackson.griffin@gmail.com,777-888-9999,357 Elm St,Bloomington,IN 47401,fish,fish,Strictly avoid Ingredient,Medium Spicy,No Preference,No Preference,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
64,Penelope,NULL,Payne,penelope.payne@gmail.com,222-333-4444,852 Oak Dr,Bloomington,IN 47401,No Preference,No Preference,No Preference,Very Spicy,Medium,Coconut Oil,No Preference,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
65,Sawyer,James,Wagner,sawyer.wagner@gmail.com,888-777-6666,123 Cedar Ave,Bloomington,IN 47408,No Preference,No Preference,No Preference,Less Spicy,Rare,Olive Oil,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
66,Riley,Anne,Fischer,riley.fischer@gmail.com,111-222-3333,456 Maple Ln,Bloomington,IN 47404,No Preference,No Preference,No Preference,Medium Spicy,Well Done,No Preference,No Preference,Fire & Spice Grill,"567 Pine Lane, Hilltop, Indiana",firenspicegrill@eaterymail.com,spicegrill88,GrillFire$1,,,,,,
67,Lucy,Grace,Andrews,lucy.andrews@gmail.com,444-555-6666,789 Pine St,Bloomington,IN 47408,gluten,gluten,Not that severe,Very Spicy,Medium,No Preference,No Preference,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
68,Logan,Lee,Pierce,logan.pierce@gmail.com,777-888-9999,357 Elm Ave,Bloomington,IN 47404,No Preference,No Preference,No Preference,Less Spicy,Medium,Coconut Oil,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
69,Eleanor,NULL,Bradley,eleanor.bradley@gmail.com,222-333-4444,852 Oak Ave,Bloomington,IN 47401,No Preference,No Preference,No Preference,No Preference,Rare,Olive Oil,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
70,Lincoln,James,Warner,lincoln.warner@gmail.com,888-777-6666,123 Maple Dr,Bloomington,IN 47408,No Preference,No Preference,No Preference,Less Spicy,No Preference,Vegetable Oil,no green chilies,Seafood Cove,"890 Beach Road, Baytown, Indiana",seafoodcove@yummail.com,oceanlover,SeaCove2024!,,,,,,
71,Stella,Anne,Robbins,stella.robbins@gmail.com,111-222-3333,456 Cedar St,Bloomington,IN 47404,No Preference,No Preference,No Preference,Medium Spicy,Medium,No Preference,No Preference,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
72,Levi,Grace,Newman,levi.newman@gmail.com,444-555-6666,789 Pine Dr,Bloomington,IN 47408,gluten,gluten,Strictly avoid Ingredient,Very Spicy,Medium,Coconut Oil,No Preference,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
73,Hannah,Lee,Simmons,hannah.simmons@gmail.com,777-888-9999,357 Elm St,Bloomington,IN 47401,No Preference,No Preference,No Preference,Less Spicy,No Preference,Olive Oil,Coconut oil also works,Indian Taste,"234 Curry Street, Masalatown, Indiana",tasteofindia@emailprovider.com,indiataste,CurryLove#12,,,,,,
74,Oliver,NULL,Tucker,oliver.tucker@gmail.com,222-333-4444,852 Oak Dr,Bloomington,IN 47401,No Preference,No Preference,No Preference,Medium Spicy,Well Done,Vegetable Oil,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
75,Ruby,Grace,Franklin,ruby.franklin@gmail.com,888-777-6666,123 Maple Dr,Bloomington,IN 47408,dairy,dairy,Strictly avoid Ingredient,Very Spicy,Medium,No Preference,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
76,Daniel,Lee,Bishop,daniel.bishop@gmail.com,111-222-3333,456 Cedar St,Bloomington,IN 47404,No Preference,No Preference,No Preference,Less Spicy,No Preference,No Preference,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
77,Lillian,Anne,Morrison,lillian.morrison@gmail.com,444-555-6666,789 Pine St,Bloomington,IN 47408,No Preference,No Preference,No Preference,Medium Spicy,Medium,Olive Oil,Use only extra virgin olive oil,Burger Junction,"901 Bacon Avenue, Grillville,Indiana ",burgerjunction@fastfoodmail.com,burgerlover,JuicyBurger99!,,,,,,
78,Jack,James,Wheeler,jack.wheeler@gmail.com,777-888-9999,357 Elm Ave,Bloomington,IN 47404,fish,fish,Strictly avoid Ingredient,Very Spicy,Rare,Vegetable Oil,No Preference,Fire & Spice Grill,"567 Pine Lane, Hilltop, Indiana",firenspicegrill@eaterymail.com,spicegrill88,GrillFire$1,,,,,,
79,Adeline,NULL,Walters,adeline.walters@gmail.com,222-333-4444,852 Oak Ave,Bloomington,IN 47401,No Preference,No Preference,No Preference,No Preference,Well Done,No Preference,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
80,Hudson,Grace,Wallace,hudson.wallace@gmail.com,888-777-6666,123 Maple Ln,Bloomington,IN 47408,No Preference,No Preference,No Preference,Less Spicy,Medium,Coconut Oil,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
81,Isabella,Lee,Montgomery,isabella.montgomery@gmail.com,111-222-3333,456 Cedar St,Bloomington,IN 47404,No Preference,No Preference,No Preference,Medium Spicy,Medium,Olive Oil,No Preference,Spice Delight,"123 Main Street, Cityville, Indiana",spicedelight@email.com,spicedelight123,SD#4567,,,,,,
82,Gabriel,NULL,Marshall,gabriel.marshall@gmail.com,444-555-6666,789 Pine Dr,Bloomington,IN 47408,gluten,gluten,Strictly avoid Ingredient,Very Spicy,Rare,Vegetable Oil,Coconut oil also works,Sizzling Sushi Bar,"789 Elm Street, Villageton, Indiana",sizzlingsushi@emailprovider.com,sushi_master,SushiTime!,,,,,,
83,Clara,James,Alvarez,clara.alvarez@gmail.com,777-888-9999,357 Elm St,Bloomington,IN 47401,No Preference,No Preference,No Preference,Less Spicy,Well Done,No Preference,No Preference,Veggie Haven,"345 Garden Street, Greenside,Indiana",veggiehaven@healthymail.com,greenplate,Veggies4Life#,,,,,,
84,Wyatt,Anne,Jennings,wyatt.jennings@gmail.com,222-333-4444,852 Oak Dr,Bloomington,IN 47401,No Preference,No Preference,No Preference,No Preference,Medium,No Preference,no green chilies,Pizzeria Paradiso,"678 Pepperoni Lane, Pizzatown, Indiana",pizzeriaparadiso@email.com,pizza_master,Paradiso1234$,,,,,,
85,Aurora,Grace,Hubbard,aurora.hubbard@gmail.com,888-777-6666,123 Maple Dr,Bloomington,IN 47408,eggs,eggs,Not that severe,Very Spicy,Medium,Olive Oil,No Preference,Bella Italia,"456 Oak Avenue, Townsville,Indiana",bellaitalia@restaurantmail.com,bellaitalia123,Italia$1234,,,,,,
